USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
 1957  1176  1000   gpg-agent --homedir /home/andrey/.gnupg --use-standard-socket --daemon
 2228  1176  1000   /usr/lib/gvfs/gvfsd-metadata
 2250  1176  1000   /usr/lib/gvfs/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/2
 2274  1176  1000   /usr/lib/gvfs/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/5
 2301  1176  1000   /usr/lib/gnome-terminal/gnome-terminal-server
 2347  1176  1000   ./daemon path.txt
 2353  2347  1000     /bin/ps -o pid,ppid,uid,cmd -H
 1210     1  1000 /usr/bin/VBoxClient --seamless
 1174     1  1000 /usr/bin/gnome-keyring-daemon --daemonize --login
 1168     1  1000 /lib/systemd/systemd --user
 1169  1168  1000   (sd-pam)
